LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
aas,fredrik,m,NOR,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,,11.3
aas,fredrik,m,NOR,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,,12.2
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,4.0,8.566,,12.566
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,4.6,8.166,,12.766
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,4.4,8.066,,12.466
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,4.4,7.266,,11.666
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,3.5,8.366,,11.866
aas,fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,4.0,8.966,,12.966
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,5.5,8.3,,13.8
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,5.5,7.9,,13.4
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,5.3,8.133,,13.433
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48.0,5.0,8.166,,13.166
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,5.8,8.4,,14.2
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,5.8,8.5,,14.3
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,5.1,6.166,,11.266
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,5.2,7.566,,12.766
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,5.3,7.933,,13.233
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,4.9,7.666,,12.566
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20.0,4.8,9.033,0.1,13.733
abad,nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,97.0,4.8,9.0,0.3,13.5
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,5.4,7.133,0.1,12.433
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,5.3,8.5,,13.8
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,5.3,8.1,,13.4
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,5.8,8.6,,14.4
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,5.8,8.266,,14.066
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,5.0,5.5,,10.5
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,5.3,8.366,,13.666
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,5.3,8.333,,13.633
abad,nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT,36.0,5.2,9.2,0.3,14.1
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,5.4,7.233,,12.633
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,4.6,8.0,0.1,12.5
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,5.3,8.1,,13.4
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,5.3,8.366,,13.666
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,5.3,8.433,,13.733
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10.0,5.8,8.033,,13.833
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23.0,5.8,8.1,,13.9
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,12.0,4.7,8.3,,13.0
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PH,28.0,5.0,8.233,,13.233
abad,nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",SR,17.0,5.3,8.466,,13.766
