LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Rank,D_Score,E_Score,Penalty,Score,HB_score,HB_num_of_samples,PH_score,PH_num_of_samples,FX_score,FX_num_of_samples,PB_score,PB_num_of_samples,SR_score,SR_num_of_samples,VT_score,VT_num_of_samples
abiyurafi,,m,INA,1-4 Mar 2023,World Cup,qual,"Doha, Qatar",26.0,4.9,6.733,,11.277666666666667,11.633,1,11.5,1,,0,10.7,1,,0,,0
calvo,,m,COL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",19.0,5.6,7.666,0.1,12.566333333333333,13.5,1,10.4,1,13.166,1,12.366,1,11.566,1,14.4,1
elpitiya,,m,SRI,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",,4.4,8.5,0.1,12.8,,0,,0,,0,,0,,0,12.8,1
khosronezhad,,m,IRI,1-4 Mar 2023,World Cup,qual,"Doha, Qatar",25.0,5.5,7.3,,13.333,,0,,0,,0,,0,13.333,2,,0
kumarasinghege,,m,SRI,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",,2.8,7.4,0.1,10.1,,0,,0,,0,,0,,0,10.1,1
nourishourakchali,,m,IRI,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",40.0,4.2,7.666,,11.866,,0,11.866,1,,0,,0,,0,,0
yonekura,,m,JPN,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",12.0,6.0,7.866,0.3,14.016,,0,,0,,0,,0,,0,14.016,2
abdelhaleem,abdelrahman,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",113.0,5.2,7.2,0.4,12.849666666666666,12.766,1,13.310666666666668,3,12.0,1,12.4,1,,0,,0
nasser,abderrazak,m,MAR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",100.0,4.8,7.666,,12.003444444444444,11.5165,2,11.633,2,12.466,1,11.7665,2,12.033,1,13.7,1
mirvaliev,abdulaziz,m,UZB,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",11.0,5.4,8.233,,13.499583333333334,,0,,0,13.177333333333332,3,,0,13.088333333333333,3,13.866333333333335,6
azimov,abdulla,m,UZB,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",61.0,4.9,8.266,,13.655333333333333,12.433,1,14.344333333333333,6,12.983,2,13.533,1,11.966,1,13.9,1
rafi,abu,m,BAN,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",37.0,3.7,6.35,,7.6800000000000015,,0,7.0,1,10.05,1,5.9,1,3.0,1,12.45,1
quistas,achraf,m,MAR,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",44.0,4.9,7.333,0.6,11.4662,,0,9.066,1,11.633,1,9.866,1,,0,13.383,2
logan,adam,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",,5.2,8.03,0.0,12.5165,,0,,0,,0,,0,,0,12.5165,2
steele,adam,m,IRL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",66.0,5.5,7.9,0.4,13.020624999999999,12.4,1,13.555,3,13.0,1,12.4,1,12.0,1,13.7,1
tobin,adam,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",13.0,5.2,7.95,0.0,13.173181818181819,12.72857142857143,7,12.341666666666669,6,12.6625,4,13.838,7,13.497166666666665,6,14.355333333333334,3
asil,adem,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",17.0,5.8,8.333,,14.023070422535211,13.492333333333333,9,12.661714285714286,7,13.973000000000003,10,13.812666666666665,9,14.8224375,16,14.2186,20
trejo,adickxon,m,VEN,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",2.0,5.1,8.35,,12.835714285714287,11.7,2,12.525,2,13.549999999999999,3,13.066666666666668,3,12.100000000000001,2,13.6,2
