LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
abdelsalam,jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,4.8,6.2,,11.0
abdelsalam,jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,4.4,7.466,0.1,11.766
abdelsalam,jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,4.8,8.0,,12.8
abdelsalam,jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,110.0,4.2,8.433,0.3,12.333
abdelsalam,jana,w,EGY,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",BB,22.0,4.8,6.733,,11.533
abdelsalam,jana,w,EGY,27-30 Apr 2023,World Cup,final,"Cairo, Egypt",BB,8.0,4.8,6.566,,11.366
abdelsalam,jana,w,EGY,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",BB,9.0,4.7,7.466,,12.166
abdelsalam,jana,w,EGY,1-4 Mar 2023,World Cup,final,"Doha, Qatar",BB,4.0,5.0,8.0,,13.0
abdelsalam,jana,w,EGY,1-4 Mar 2023,World Cup,qual,"Doha, Qatar",BB,6.0,5.0,7.933,,12.933
abdelsalam,jana,w,EGY,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,22.0,4.5,7.366,,11.866
abdelsalam,jana,w,EGY,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",UB,29.0,4.5,6.266,,10.766
abdelsalam,jana,w,EGY,1-4 Mar 2023,World Cup,qual,"Doha, Qatar",UB,21.0,3.8,5.533,,9.333
abdullahi,ayesha,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,3.7,6.5,0.0,10.2
abdullahi,ayesha,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,3.5,6.7,0.0,10.2
abeyratne,kumudi,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,36.0,3.9,5.2,,9.1
abeyratne,kumudi,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,39.0,2.9,4.45,,7.35
