LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Rank,D_Score,E_Score,Penalty,Score,HB,PH,FX,PB,SR,VT,BB,UB,index
MEADOW,Abby,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",61.0,4.1,4.7,0.0,8.8,,,10.65,,,11.8,8.8,4.95,6757
ABDELHALEEM,Abdelrahman,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",113.0,5.2,7.2,0.4,12.0,12.766,13.310666666666668,12.0,12.4,,,,,77
NASSER,Abderrazak,m,MAR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",100.0,4.8,7.666,,12.466,11.5165,11.633,12.466,11.7665,12.033,13.7,,,7505
MIRVALIEV,Abdulaziz,m,UZB,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",11.0,5.4,8.233,,13.633,,,13.177333333333332,,13.088333333333333,13.866333333333335,,,7023
AZIMOV,Abdulla,m,UZB,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",61.0,4.9,8.266,,13.166,12.433,14.344333333333333,12.983,13.533,11.966,13.9,,,660
O DRISCOLL,Aberdeen,w,BEL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",15.0,5.0,7.833,,12.833,,,12.833,,,13.133,,,7771
O'DRISCOL,Aberdeen,w,BEL,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",40.0,4.0,6.1,,10.1,,,12.85,,,6.475,10.1,,7778
ROPER,Abigail,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",22.0,4.7,6.65,0.0,11.35,,,11.575,,,12.666666666666666,11.524999999999999,10.725,8961
RAFI,Abu Saeed,m,BAN,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",37.0,3.7,6.35,,10.05,,7.0,10.05,5.9,3.0,12.45,,,8646
QUISTAS,Achraf,m,MAR,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",44.0,4.9,7.333,0.6,11.633,,9.066,11.633,9.866,,13.383,,,8603
HAUTALA,Ada,w,FIN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",74.0,5.0,6.566,,11.566,,,12.383,,,12.766333333333334,10.624749999999999,12.02475,3850
STEELE,Adam,m,IRL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",66.0,5.5,7.9,0.4,13.0,12.4,13.555,13.0,12.4,12.0,13.7,,,9903
TOBIN,Adam,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",13.0,5.2,7.95,0.0,13.15,13.033333333333333,12.341666666666669,12.933333333333332,13.836,13.497166666666665,14.355333333333334,,,10543
Tobin,Adam,m,GBR,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",25.0,5.2,6.65,,11.85,10.9,,11.85,13.85,,,,,10865
LOGAN,Adam Guest,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",,5.2,8.03,0.0,13.233,,,,,,12.5165,,,6147
BALCOVA,Adela,w,SVK,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",76.0,3.5,7.6,,11.1,,,10.666,,,12.0,10.433,10.6665,831
Siikala,Adeliina,w,FIN,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",15.0,4.3,6.5,,10.8,,,11.133,,,12.6835,10.8,6.533,10103
ASIL,Adem,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",17.0,5.8,8.333,,14.133,13.492333333333333,12.661714285714286,13.973000000000003,13.812666666666665,14.8224375,14.2186,,,526
TREJO,Adickxon,m,VEN,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",2.0,5.1,8.35,,13.45,11.7,12.525,13.549999999999999,13.066666666666668,12.100000000000001,13.6,,,10647
VERA,Adria,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",57.0,5.0,7.666,,12.666,12.033000000000001,12.8665,,12.8,13.183,,,,11126
VERA MORA,Adria,m,ESP,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",45.0,4.7,7.75,,12.45,12.05,11.4,12.45,,12.95,6.375,,,11133
VOSTRUCHOVAITE,Agata,w,LTU,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",41.0,4.0,5.466,0.1,9.366,,,,,,12.54975,9.366,,11314
GAHRAMANOV,Aghamurad,m,AZE,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",87.0,5.5,6.933,,12.433,11.566,9.3,12.433,12.6,12.066,13.533,,,3219
SUTO,Agnes,w,ISL,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",118.0,3.8,4.133,,7.933,,,11.433,,,12.2995,9.1495,9.8165,10062
Davidsson,Agust,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",15.0,4.7,8.05,,12.75,,,,,12.75,,,,2636
DAVIDSSON,Agust Ingi,m,ISL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",115.0,3.2,7.966,,11.166,11.166,,,12.866,12.533,,,,2099
ABU AL SOUD,Ahmad,m,JOR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",2.0,6.3,8.566,,14.866,,13.683,,,,,,,150
ABDELRAHMAN,Ahmed,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",116.0,5.4,7.433,0.9,11.933,12.966,12.616,8.133000000000001,13.233,,13.46625,,,84
ELMARAGHY,Ahmed,m,EGY,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",43.0,5.0,5.9,,10.9,13.099571428571428,,,,,,,,2694
ALIOUAT,Ahmed Riadh,m,ALG,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",18.0,4.6,8.233,,12.833,12.833,,,13.333,,,,,310
ONDER,Ahmet,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",29.0,5.7,8.1,,13.8,13.049500000000002,11.8996,13.710833333333333,13.566199999999998,13.09975,14.033166666666666,,,7831
Önder,Ahmet,m,TUR,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",2.0,5.8,8.0,,13.8,11.7,,13.2625,13.366666666666667,,,,,11950
SANDOVAL,Ahtziri,w,MEX,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",118.0,4.9,5.6,,10.5,,,12.1415,,,13.249800000000002,10.5,12.95,9242
BAUYRZHANOVA,Aida,w,KAZ,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",97.0,4.9,6.166,,11.066,,,12.239799999999999,,,11.766,12.133,11.23325,937
Frick,Aiden,m,AUS,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",23.0,4.7,8.0,0.2,12.5,,12.575,12.55,13.100000000000001,12.233333333333334,,,,3148
FRICK,Aiden Michael,m,AUS,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",57.0,4.7,7.8,,12.5,12.2,11.9,12.5,13.366,11.9,13.066,,,3071
ZHU,Aiyu,w,GER,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",11.0,4.8,6.833,,11.633,,,11.483,,,12.9465,11.3995,11.815999999999999,11856
