"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Rank","D_Score","E_Score","Penalty","Score","FullName","HB","PH","FX","PB","SR","VT","BB","UB","Total"
"ABIYURAFI","","m","INA","1-4 Mar 2023","World Cup","qual","Doha, Qatar",26,4.9,6.733,NA,11.633,"_ABIYURAFI",11.633,11.5,NA,10.7,NA,NA,NA,NA,33.833
"CALVO MORENO JO","","m","COL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",19,5.6,7.666,0.1,13.166,"_CALVO MORENO JO",13.5,10.4,13.166,12.366,11.566,14.4,NA,NA,75.398
"ELPITIYA BADALG D","","w","SRI","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",17,4.7,5.85,NA,10.55,"_ELPITIYA BADALG D",NA,NA,NA,NA,NA,12.8,10.55,10.5,33.85
"KHOSRONEZHAD","","m","IRI","1-4 Mar 2023","World Cup","qual","Doha, Qatar",25,5.5,7.3,NA,12.8,"_KHOSRONEZHAD",NA,NA,NA,NA,13.333,NA,NA,NA,13.333
"KUMARASINGHEGE HG","","m","SRI","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAqual","Birmingham, England",NA,2.8,7.4,0.1,10.1,"_KUMARASINGHEGE HG",NA,NA,NA,NA,NA,10.1,NA,NA,10.1
"NOURISHOURAKCHALI","","m","IRI","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",40,4.2,7.666,NA,11.866,"_NOURISHOURAKCHALI",NA,11.866,NA,NA,NA,NA,NA,NA,11.866
"YONEKURA","","m","JPN","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",12,6,7.866,0.3,13.566,"_YONEKURA",NA,NA,NA,NA,NA,14.016,NA,NA,14.016
"MEADOW","Abby","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",61,4.1,4.7,0,8.8,"Abby_MEADOW",NA,NA,10.65,NA,NA,11.8,8.8,4.95,36.2
"ABDELHALEEM","Abdelrahman","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",113,5.2,7.2,0.4,12,"Abdelrahman_ABDELHALEEM",12.766,13.3106666666667,12,12.4,NA,NA,NA,NA,50.4766666666667
"NASSER","Abderrazak","m","MAR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",100,4.8,7.666,NA,12.466,"Abderrazak_NASSER",11.5165,11.633,12.466,11.7665,12.033,13.7,NA,NA,73.115
"MIRVALIEV","Abdulaziz","m","UZB","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",11,5.4,8.233,NA,13.633,"Abdulaziz_MIRVALIEV",NA,NA,13.1773333333333,NA,13.0883333333333,13.8663333333333,NA,NA,40.132
"AZIMOV","Abdulla","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",61,4.9,8.266,NA,13.166,"Abdulla_AZIMOV",12.433,14.3443333333333,12.983,13.533,11.966,13.9,NA,NA,79.1593333333333
"O DRISCOLL","Aberdeen","w","BEL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",15,5,7.833,NA,12.833,"Aberdeen_O DRISCOLL",NA,NA,12.833,NA,NA,13.133,NA,NA,25.966
"O'DRISCOL","Aberdeen","w","BEL","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",40,4,6.1,NA,10.1,"Aberdeen_O'DRISCOL",NA,NA,12.85,NA,NA,6.475,10.1,NA,29.425
"ROPER","Abigail","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",22,4.7,6.65,0,11.35,"Abigail_ROPER",NA,NA,11.575,NA,NA,12.6666666666667,11.525,10.725,46.4916666666667
"RAFI","Abu Saeed","m","BAN","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",37,3.7,6.35,NA,10.05,"Abu Saeed_RAFI",NA,7,10.05,5.9,3,12.45,NA,NA,38.4
"QUISTAS","Achraf","m","MAR","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",44,4.9,7.333,0.6,11.633,"Achraf_QUISTAS",NA,9.066,11.633,9.866,NA,13.383,NA,NA,43.948
"HAUTALA","Ada","w","FIN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",74,5,6.566,NA,11.566,"Ada_HAUTALA",NA,NA,12.383,NA,NA,12.7663333333333,10.62475,12.02475,47.7988333333333
"LOGAN","Adam Guest","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",NA,5.2,8.03,0,13.233,"Adam Guest_LOGAN",NA,NA,NA,NA,NA,12.5165,NA,NA,12.5165
"STEELE","Adam","m","IRL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",66,5.5,7.9,0.4,13,"Adam_STEELE",12.4,13.555,13,12.4,12,13.7,NA,NA,77.055
"Tobin","Adam","m","GBR","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",25,5.2,6.65,NA,11.85,"Adam_Tobin",10.9,NA,11.85,13.85,NA,NA,NA,NA,36.6
"TOBIN","Adam","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",13,5.2,7.95,0,13.15,"Adam_TOBIN",13.0333333333333,12.3416666666667,12.9333333333333,13.836,13.4971666666667,14.3553333333333,NA,NA,79.9968333333333
